metric_id,institution,city,segment,metric_name,period,value,value_text,unit,comparison_type,is_forecast,source_page,source_quote,source_file,审核结果,错误类型,备注
3584,克而瑞,杭州,new_home,inventory_months,2026-08,8.5,,months,,0,,截至8月末全市新房库存23078套、332.9万㎡，12月口径去化周期8.5个月，仍处近一年高位,external_hangzhou.csv,,,
3586,克而瑞,杭州,land,land_transaction_value,2026-08,5.5,,CNY_100m,,0,,8月杭州招拍挂涉宅用地成交2宗，成交总价5.5亿元，综合溢价率10%,external_hangzhou.csv,,,
3610,中国金融四十人论坛,全国,new_home,new_home_volume_area,2026,60000.0,,10k_sqm,,1,,基于⼆⼿房需求对新房需求的替代、城镇化节奏⼤幅放缓等相对保守的假设，6亿平⽅⽶或是年化新增商品住宅需求的物理底部。,report_cn_inventory_2026.jsonl,,,
3614,中国金融四十人论坛,,new_home,inventory_months,2028,5.2,,months,,1,,"| 2026 |                2.9 |         1.1 |          1.9 |                2.1 |      22.1 |
| 2027 |                2.1 |         1.1 |          1.9 |                1.3 |      13.6 |
| 2028 |                1.3 |         1.1 |          1.9 |                0.5 |       5.2 |",report_cn_inventory_2026.jsonl,,,
3619,中国金融四十人论坛,一线,rental,rent_level,2025Q4,88.2,,CNY_per_sqm_month,,0,,| 房租 �     | 88.2                               | 29.2     |,report_cn_policy_tools_2026.jsonl,,,
3625,中国金融四十人论坛,一线,,avg_price,2026Q1,25167.0,,CNY_per_sqm,,1,,"| 模型隐含房价   | 25,167                             | 6,308    |",report_cn_policy_tools_2026.jsonl,,,
3628,Deutsche Bank,全国,macro,price_bottom_timing,2026-05,2027.0,,text,,1,,An industry survey cited during our meetings found over 70% of developers and investors expect no market stabilisation before 2027.,report_db_rmb_202605.jsonl,,,
3629,Goldman Sachs,全国,macro,price_bottom_timing,2026-04,2026.0,,text,,1,,"Other topics included the outlook for the Chinese economy-risks to export growth, the possibility of the property market bottoming this year, an investment rebound-as well as prospects for macro policies such as monetary, fiscal, and consumption-related measures.",report_gs_cio_202604.jsonl,,,
3635,Goldman Sachs,,rental,rental_yield,2026-05,3.0,,pct,,0,,"Select Tourismand retirement-oriented projects rose 8% over the past year, underpinned by ~3% rental yields and high transaction volume",report_gs_divergence_202606.jsonl,,,
3637,Goldman Sachs,上海,secondary_home,price_bottom_timing,2026-06,,2026Q4,text,,1,,"For key market's recovery timeline (i.e. Shanghai), the expert expects another 6 months may be needed for price to stabilize under an optimistic case, or 6-12 months under a pessimistic case (vs. our prior discussion on SH/SZ potentially bottoming out in late 2026)",report_gs_divergence_202606.jsonl,,,
3638,Goldman Sachs,全国,new_home,inventory_months,2026-01,35.0,,months,,0,,"To reduce inventory to healthy levels (12-18 months), a key goal mentioned by Ms. Qin during the call, we estimate Rmb2.1-2.9tn is needed for our sample of 80 cities (including Rmb1-1.5tn for tier-1/key tier-2 cities), which represents ~25% of 2025 nationwide sales and with median inventory months standing at 35 by the beginning of 2026. We understand that as of end-25, only Rmb25bn local government special bonds (LGSB) had been issued for completed housing units buybacks (accounting for less than 5% of total LGSB issued for property de-stocking), or implied Rmb50bn-60bn overall funding, considering LGSB accounts for 40%-50% of the total. According to Ms. Qin, the main funding channels are 1) LGSB issuance, as aforementioned; 2) PBOC re-lending facilities, 3) diversified financing channels such as special loans from policy banks, SOEs, and C-REITs.",report_gs_expert_202603.jsonl,,,
